thinkBack: Stock quote and option quote for EBAY on 10/29/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
51.97,+.335,"8,551,595",51.80,52.28,51.46

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (4)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.99,.00,-.01,.00,.02,12.00,51.81%,98.45%,1.55%,3.04%,2,93,11.97,.03,11.95,12.05,NOV 13,40,0,.01,.00,.00,.00,.00,.00,.01,42.88%,0.43%,99.57%,0.84%,0,"1,489",0,.005
1.00,.00,.00,.00,.02,6.98,0.00%,100.00%,0.00%,0.00%,0,964,6.97,.005,6.90,7.05,NOV 13,45,.01,.03,-.02,.01,.00,.00,.00,.02,29.80%,1.85%,98.15%,3.65%,23,"4,607",0,.02
.78,.11,-.02,.04,.02,2.34,23.03%,76.17%,23.83%,47.01%,670,"5,820",1.97,.365,2.31,2.36,NOV 13,50,.34,.35,-.22,.11,-.02,.04,-.01,.35,22.65%,23.43%,76.57%,46.24%,"2,846","12,817",0,.345
.43,.15,-.03,.05,.01,.81,22.12%,41.15%,58.85%,83.67%,"3,082","12,451",0,.81,.80,.82,NOV 13,52.5,1.30,1.32,-.57,.15,-.03,.05,-.02,1.31,21.62%,59.01%,40.99%,83.32%,272,"8,021",.53,.78
.14,.08,-.02,.03,.00,.20,22.78%,13.26%,86.74%,26.85%,"3,386","22,157",0,.195,.19,.20,NOV 13,55,3.15,3.25,-.86,.08,-.02,.03,-.02,3.20,22.16%,87.36%,12.64%,25.56%,66,"4,254",3.03,.17
.04,.03,-.01,.01,.00,.05,25.23%,3.72%,96.28%,7.53%,39,"25,709",0,.05,.04,.06,NOV 13,57.5,5.50,5.60,-.94,.01,-.01,.01,-.01,5.55,25.03%,96.39%,3.61%,7.30%,2,"1,529",5.53,.02
.02,.01,.00,.00,.00,.02,29.10%,1.40%,98.60%,2.84%,22,"14,127",0,.02,.01,.03,NOV 13,60,8.00,8.10,-.93,.01,-.01,.01,-.01,8.05,35.47%,96.52%,3.48%,7.06%,0,138,8.03,.02
.01,.01,.00,.00,.00,.01,33.02%,0.65%,99.35%,1.31%,0,"1,539",0,.01,0,.02,NOV 13,62.5,10.30,10.70,-1.00,.00,.00,.00,.00,10.53,--,100.00%,0.00%,,0,10,10.53,-.03
.01,.00,.00,.00,.00,.01,39.05%,0.53%,99.47%,1.08%,1,"4,044",0,.01,0,.02,NOV 13,65,11.25,15.05,-.91,.01,-.03,.02,-.01,13.15,62.35%,94.98%,5.02%,10.34%,0,0,13.03,.12
.01,.00,.00,.00,.00,.01,50.39%,0.41%,99.59%,0.82%,0,38,0,.01,0,.02,NOV 13,70,16.25,19.70,-1.00,.00,.00,.00,.00,18.03,--,100.00%,0.00%,,0,0,18.03,-.055
.00,.00,.00,.00,.00,.01,60.45%,0.32%,99.68%,0.65%,0,16,0,.01,0,.02,NOV 13,75,21.20,24.75,-1.00,.00,.00,.00,.00,23.03,--,100.00%,0.00%,,0,0,23.03,-.055
.00,.00,.00,.00,.00,.01,65.02%,0.14%,99.86%,0.29%,0,2,0,.005,0,.01,NOV 13,80,26.25,29.80,-1.00,.00,.00,.00,.00,28.03,--,100.00%,0.00%,,0,0,28.03,-.005

DEC 13  (53)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.04,21.98,--,100.00%,0.00%,0.00%,0,0,21.97,-.12,19.95,23.75,DEC 13,30,0,.02,.00,.00,.00,.00,.00,.01,53.88%,0.54%,99.46%,1.04%,0,18,0,.01
.99,.00,.00,.01,.05,17.03,47.62%,98.08%,1.92%,3.73%,55,52,16.97,.055,17.00,17.05,DEC 13,35,0,.03,-.01,.00,.00,.00,.00,.02,41.74%,0.85%,99.15%,1.67%,0,0,0,.015
.98,.01,.00,.01,.06,12.03,32.93%,97.76%,2.24%,4.38%,0,46,11.97,.055,11.95,12.10,DEC 13,40,.02,.04,-.01,.01,.00,.01,.00,.03,31.55%,1.79%,98.21%,3.50%,0,58,0,.03
.93,.03,-.01,.03,.06,7.15,26.11%,91.74%,8.26%,16.18%,2,174,6.97,.18,7.05,7.25,DEC 13,45,.15,.17,-.07,.03,-.01,.03,-.01,.16,25.98%,8.15%,91.85%,15.96%,76,"2,467",0,.16
1.00,.00,.00,.00,.07,2.99,--,100.00%,0.00%,0.00%,0,15,2.97,-.995,0,3.95,DEC 13,49,.85,.99,-.27,.06,-.02,.07,-.02,.92,26.91%,30.13%,69.87%,58.51%,0,0,0,.92
