thinkBack: Stock quote and option quote for EBAY on 10/31/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
52.725,-.615,"8,700,053",53.51,53.51,52.5156

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (2)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.03,.07,-.01,.00,.00,.01,19.18%,2.79%,97.21%,5.60%,81,181,0,.01,0,.02,NOV1 13,54.5,1.70,1.84,-1.00,.00,.00,.00,.00,1.78,--,100.00%,0.00%,,0,0,1.775,-.005
.01,.03,-.01,.00,.00,0,21.02%,1.30%,98.70%,2.61%,0,25,0,.005,0,.01,NOV1 13,55,2.25,2.30,-1.00,.00,.00,.00,.00,2.28,0.00%,100.00%,0.00%,,36,21,2.275,0
.01,.03,-.01,.00,.00,.01,25.31%,1.23%,98.77%,2.48%,0,48,0,.005,0,.01,NOV1 13,55.5,2.69,2.86,-1.00,.00,.00,.00,.00,2.78,0.00%,100.00%,0.00%,,0,0,2.775,0
.01,.02,-.01,.00,.00,.01,29.01%,1.06%,98.94%,2.13%,0,15,0,.005,0,.01,NOV1 13,56,2.49,3.35,-1.00,.00,.00,.00,.00,3.28,--,100.00%,0.00%,,0,0,3.275,-.355

NOV 13  (16)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.01,22.73,--,100.00%,0.00%,0.00%,0,112,22.725,-.025,22.60,22.80,NOV 13,30,0,.02,.00,.00,.00,.00,.00,.01,98.17%,0.53%,99.47%,1.02%,0,0,0,.01
1.00,.00,.00,.00,.02,17.73,--,100.00%,0.00%,0.00%,0,0,17.725,-.10,15.85,19.40,NOV 13,35,0,.01,.00,.00,.00,.00,.00,.01,68.22%,0.34%,99.66%,0.66%,0,14,0,.005
.99,.00,.00,.00,.02,12.75,55.87%,98.72%,1.28%,2.51%,143,112,12.725,.025,12.70,12.80,NOV 13,40,0,.01,.00,.00,.00,.00,.00,.01,47.48%,0.41%,99.59%,0.80%,0,"1,489",0,.005
.99,.01,.00,.00,.02,7.75,34.08%,98.30%,1.70%,3.36%,56,936,7.725,.025,7.70,7.80,NOV 13,45,.02,.03,-.02,.01,-.01,.00,.00,.03,35.26%,2.04%,97.96%,4.02%,61,"4,614",0,.025
.87,.08,-.02,.02,.02,2.91,22.78%,85.49%,14.51%,28.70%,491,"4,823",2.725,.185,2.89,2.93,NOV 13,50,.16,.18,-.13,.08,-.02,.02,.00,.17,22.40%,14.09%,85.91%,27.88%,232,"12,841",0,.17
.55,.17,-.03,.05,.01,1.08,21.10%,52.94%,47.06%,92.69%,869,"12,123",.225,.85,1.06,1.09,NOV 13,52.5,.83,.85,-.45,.17,-.03,.05,-.01,.84,21.01%,47.04%,52.96%,92.66%,"3,695","7,825",0,.84
.18,.11,-.02,.03,.00,.23,20.94%,16.98%,83.02%,34.32%,"1,916","20,810",0,.23,.22,.24,NOV 13,55,2.47,2.51,-.82,.11,-.02,.03,-.02,2.49,20.67%,83.33%,16.67%,33.70%,49,"4,239",2.275,.215
.05,.04,-.01,.01,.00,.06,23.93%,4.43%,95.57%,8.95%,87,"26,392",0,.055,.05,.06,NOV 13,57.5,4.80,4.85,-.93,.03,-.01,.01,-.01,4.83,25.04%,94.84%,5.16%,10.43%,71,"1,529",4.775,.05
.01,.01,.00,.00,.00,.01,26.87%,1.20%,98.80%,2.42%,103,"14,129",0,.015,.01,.02,NOV 13,60,7.25,7.30,-1.00,.00,.00,.00,.00,7.28,0.00%,100.00%,0.00%,,37,99,7.275,0
.01,.01,.00,.00,.00,.01,32.50%,0.70%,99.30%,1.41%,1,"1,539",0,.01,0,.02,NOV 13,62.5,9.75,9.80,-1.00,.00,.00,.00,.00,9.78,0.00%,100.00%,0.00%,,0,10,9.775,0
.00,.00,.00,.00,.00,.01,36.07%,0.32%,99.68%,0.65%,0,"4,045",0,.005,0,.01,NOV 13,65,9.95,14.00,-1.00,.00,.00,.00,.00,12.28,--,100.00%,0.00%,,0,0,12.275,-.30
.01,.00,.00,.00,.00,.01,50.77%,0.41%,99.59%,0.84%,0,38,0,.01,0,.02,NOV 13,70,15.10,19.00,-1.00,.00,.00,.00,.00,17.28,--,100.00%,0.00%,,0,0,17.275,-.225
.00,.00,.00,.00,.00,.01,57.41%,0.18%,99.82%,0.37%,0,16,0,.005,0,.01,NOV 13,75,19.95,24.00,-1.00,.00,.00,.00,.00,22.28,--,100.00%,0.00%,,0,0,22.275,-.30
.00,.00,.00,.00,.00,.01,71.15%,0.26%,99.74%,0.54%,0,2,0,.01,0,.02,NOV 13,80,25.10,29.00,-1.00,.00,.00,.00,.00,27.28,--,100.00%,0.00%,,0,0,27.275,-.225

DEC 13  (51)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.04,22.74,--,100.00%,0.00%,0.00%,0,0,22.725,-.025,21.05,24.35,DEC 13,30,0,.02,.00,.00,.00,.00,.00,.01,56.15%,0.53%,99.47%,1.02%,0,18,0,.01
1.00,.00,.00,.00,.05,17.75,42.92%,99.29%,0.71%,1.39%,0,91,17.725,.025,17.70,17.80,DEC 13,35,0,.03,-.01,.00,.00,.00,.00,.02,43.81%,0.82%,99.18%,1.60%,0,0,0,.015
.99,.01,.00,.01,.06,12.78,34.46%,98.04%,1.96%,3.83%,48,46,12.725,.05,12.75,12.80,DEC 13,40,0,.03,-.01,.00,.00,.00,.00,.02,30.79%,1.01%,98.99%,1.98%,0,58,0,.015
.95,.02,-.01,.02,.06,7.85,26.14%,94.07%,5.93%,11.64%,19,172,7.725,.125,7.80,7.90,DEC 13,45,.09,.11,-.05,.02,.00,.02,.00,.10,25.69%,5.59%,94.41%,10.98%,18,"2,400",0,.10
1.00,.00,.00,.00,.07,3.74,--,100.00%,0.00%,0.00%,0,15,3.725,-1.75,0,3.95,DEC 13,49,.85,.99,-.24,.05,-.02,.06,-.02,.92,30.45%,27.98%,72.02%,54.18%,0,0,0,.92
.75,.07,-.01,.06,.05,3.48,23.00%,71.64%,28.36%,55.39%,596,"2,744",2.725,.75,3.45,3.50,DEC 13,50,.71,.73,-.25,.07,-.01,.06,-.02,.72,22.81%,28.18%,71.82%,55.04%,"1,580","12,723",0,.72
.54,.09,-.02,.08,.04,1.88,22.24%,50.53%,49.47%,96.12%,"1,125","4,949",.225,1.66,1.87,1.90,DEC 13,52.5,1.61,1.64,-.46,.09,-.02,.08,-.04,1.62,22.03%,49.43%,50.57%,96.08%,324,"2,161",0,1.625
.32,.08,-.01,.07,.02,.86,21.76%,29.07%,70.93%,59.54%,632,"7,230",0,.86,.85,.87,DEC 13,55,3.05,3.15,-.68,.08,-.01,.07,-.05,3.10,21.53%,71.09%,28.91%,59.17%,36,"1,437",2.275,.825
.16,.06,-.01,.05,.01,.34,21.75%,13.72%,86.28%,27.96%,193,"9,314",0,.34,.33,.35,DEC 13,57.5,5.05,5.15,-.84,.05,-.01,.05,-.05,5.10,21.89%,86.14%,13.86%,28.26%,16,232,4.775,.325
.07,.03,-.01,.03,.00,.13,22.35%,5.82%,94.18%,11.83%,22,"4,368",0,.13,.12,.14,DEC 13,60,7.30,7.40,-.92,.02,-.01,.03,-.04,7.35,21.69%,94.69%,5.31%,10.79%,37,248,7.275,.075
